seg_no, inlet_node, outlet_node, length, inlet_radius, outlet_radius, peripheral_c, peripheral_r
93,64,92,0.036,0.000919,0.000796,3.7573e-12,2.2917e+10
94,64,66,0.004,0.002327,0.002327,0,0
95,65,93,0.036,0.000919,0.000796,3.7573e-12,2.2917e+10
96,65,68,0.004,0.002327,0.002327,0,0
97,9,94,0.03,0.000703,0.000703,0,0
98,9,95,0.01,0.001217,0.001217,0,0
99,12,96,0.03,0.00147,0.00147,0,0
100,12,97,0.01,0.001911,0.001911,0,0
101,95,97,0.01,0.001106,0.001106,0,0
102,95,98,0.03,0.000998,0.000998,1.4545e-11,1.9609e+10
103,97,99,0.03,0.001531,0.001531,3.4229e-11,8.1583e+09
104,94,100,0.015,0.000703,0.000703,7.217e-12,4.0228e+10
105,96,101,0.025,0.00147,0.00147,3.1556e-11,8.8657e+09
106,94,96,0.03,0.000806,0.000806,0,0
107,23,102,0.03,0.000703,0.000703,0,0
108,23,103,0.01,0.001217,0.001217,0,0
109,26,104,0.03,0.00147,0.00147,0,0
110,26,105,0.01,0.001911,0.001911,0,0
111,103,105,0.01,0.001106,0.001106,0,0
112,103,106,0.03,0.000998,0.000998,1.4545e-11,1.9609e+10
113,105,107,0.03,0.001531,0.001531,3.4229e-11,8.1583e+09
114,102,108,0.015,0.000703,0.000703,7.217e-12,4.0228e+10
115,104,109,0.025,0.00147,0.00147,3.1556e-11,8.8657e+09
116,102,104,0.03,0.000806,0.000806,0,0
