seg_no, inlet_node, outlet_node, length, inlet_radius, outlet_radius, peripheral_c, peripheral_r
74,67,76,0.024,0.001102,0.001041,6.4262e-12,1.0573e+10
75,67,69,0.004,0.000796,0.000796,0,0
76,69,77,0.024,0.001102,0.001041,6.4262e-12,1.0573e+10
77,13,60,0.011,0.002633,0.002388,0,0
78,13,78,0.011,0.000612,0.000306,1.0335e-12,2.2274e+11
79,17,61,0.011,0.002633,0.002388,0,0
80,17,79,0.011,0.000612,0.000306,1.0335e-12,2.2274e+11
81,14,80,0.061,0.002449,0.002143,0,0
82,14,81,0.101,0.001715,0.001715,3.2463e-11,6.6449e+09
83,18,82,0.061,0.002449,0.002143,0,0
84,18,83,0.101,0.001347,0.00098,1.06e-11,2.0826e+10
85,80,84,0.061,0.00196,0.001837,0,0
86,80,85,0.091,0.001347,0.000612,4.1339e-12,5.4467e+10
87,82,86,0.061,0.00196,0.001837,0,0
88,82,87,0.091,0.001347,0.000612,4.1339e-12,5.4467e+10
89,84,88,0.1,0.001347,0.000857,8.1063e-12,2.7393e+10
90,84,89,0.101,0.001347,0.000857,8.1063e-12,2.7393e+10
91,86,90,0.1,0.001347,0.000857,8.1063e-12,2.7393e+10
92,86,91,0.101,0.001347,0.000857,8.1063e-12,2.7393e+10
93,64,92,0.036,0.000919,0.000796,3.7573e-12,1.8454e+10
94,64,66,0.004,0.002327,0.002327,0,0
95,65,93,0.036,0.000919,0.000796,3.7573e-12,1.8454e+10
96,65,68,0.004,0.002327,0.002327,0,0
97,9,94,0.03,0.000703,0.000703,0,0
98,9,95,0.01,0.001217,0.001217,0,0
99,12,96,0.03,0.00147,0.00147,0,0
100,12,97,0.01,0.001911,0.001911,0,0
101,95,97,0.01,0.001106,0.001106,0,0
102,95,98,0.03,0.000998,0.000998,1.4545e-11,1.5838e+10
103,97,99,0.03,0.001531,0.001531,3.4229e-11,6.577e+09
104,94,100,0.015,0.000703,0.000703,7.217e-12,3.2532e+10
105,96,101,0.025,0.00147,0.00147,3.1556e-11,7.1486e+09
106,94,96,0.03,0.000806,0.000806,0,0
107,23,102,0.03,0.000703,0.000703,0,0
108,23,103,0.01,0.001217,0.001217,0,0
109,26,104,0.03,0.00147,0.00147,0,0
110,26,105,0.01,0.001911,0.001911,0,0
111,103,105,0.01,0.001106,0.001106,0,0
112,103,106,0.03,0.000998,0.000998,1.4545e-11,1.5838e+10
113,105,107,0.03,0.001531,0.001531,3.4229e-11,6.577e+09
114,102,108,0.015,0.000703,0.000703,7.217e-12,3.2532e+10
115,104,109,0.025,0.00147,0.00147,3.1556e-11,7.1486e+09
116,102,104,0.03,0.000806,0.000806,0,0
